text,label,roberta,roberta_score,input_length
@user @user what do these '1/2 naked pics' have to do with anything? They're not even like that.,neutral,negative,0.8047260642051697,96
OH: “I had a blue penis while I was this” [playing with Google Earth VR],neutral,neutral,0.8669487237930298,72
"@user @user That's coming, but I think the victims are going to be Medicaid recipients.",neutral,neutral,0.7637239098548889,87
I think I may be finally in with the in crowd #mannequinchallenge  #grads2014 @user,positive,positive,0.7740470767021179,83
"@user Wow,first Hugo Chavez and now Fidel Castro. Danny Glover, Michael Moore, Oliver Stone, and Sean Penn are running out of heroes.",negative,neutral,0.41639748215675354,133
Savchenko now Saakashvili took drug test live on Ukraine TV. To prove they are not drug-fueled loonies?,neutral,neutral,0.4963688552379608,103
How many more days until opening day? 😩,neutral,neutral,0.4665711522102356,39
Twitter's #ThankYouObama Shows Heartfelt Gratitude To POTUS,positive,positive,0.947964072227478,59
All CSG and Fracking all around Australia is to cease and Mining Entities held Accountable! - Sign the Petition!,neutral,negative,0.5159922242164612,112
@user @user @user @user @user @user take away illegals and dead people and Trump wins popular vote too.,negative,neutral,0.6462966799736023,103
An interesting security vulnerability - albeit not for the everyday car thief,neutral,neutral,0.5802545547485352,77
#GilmoreGirlsTop4 1. Spoke2. Paris3. Emily4. PattyInvisible number 5. Richard,neutral,neutral,0.7971653938293457,77
#onedirection #harrystyles cute little dance 😉,positive,positive,0.9007453322410583,46
"When Ryan privatizes SS, Medicare, Medicaid, & does away with ACA, what will Trump's base feel about ""change"" then? That's a big one right?!",negative,negative,0.5906877517700195,140
Swampbitch Nasty Pelosi  loves yelling 'Fire' in the crowded swamp. #blackfriday @user,negative,negative,0.8432438373565674,86
@user ohhh ok i see 🤔 what if u have medical marijuana clearance? Does that make a difference,neutral,neutral,0.9275136590003967,93
OPINION: The Anti-#Trump #Riots Are a #SmokeScreen:,neutral,negative,0.5895980596542358,51
ISIS and The CIA What You Need To Know! #ISIS #falseflag #saudi #CIA #mossad #israel,neutral,negative,0.826901912689209,84
@user alt-right was adopted by Deplorables. Average middle Americans.  I've now moved to Libertarian. @user,neutral,neutral,0.5151349902153015,107
"@user #GilmoreGirlsTop4 Lorelai, Rory, Lane, Sookie @user @user",neutral,neutral,0.8869539499282837,63
"Christians In Palestine: Yes, They Exist #gaza #palestine #israel #BDS",neutral,neutral,0.7468939423561096,70
"@user Going to see #FantasticBeasts this afternoon. Mom is a Potter fanatic. My niece was, but she's kinda growing out of it.",positive,positive,0.7539661526679993,125
Listen to win passes to see #FantasticBeasts after 2pm w/ @user,neutral,positive,0.5687165856361389,63
The United Nations Headquarters in New York #unitednations #newyork #usa🇺🇸 #USA #newyorkcity…,neutral,neutral,0.7923486828804016,93
Zac Efron Flaunts Fit Abs in New ‘Dirty Grandpa’... #ZacEfron,neutral,neutral,0.6070791482925415,61
1am and I'm still watching #ThisIsUs,neutral,positive,0.5023007988929749,36
The left has really gone Full retard haven't they?,negative,negative,0.869616687297821,50
"#Israel fire updates: Major blaze breaks out near #Jerusalem, firebombing suspected...",neutral,negative,0.7278672456741333,86
"RT @user Can I politely suggest that we all stop using the term ""alt-right"" and use other, more precise words.",neutral,neutral,0.5126897096633911,110
Day 5 Advent Gift Countdown - 'Gold Standard'  #20moresleeps #christmasgifts #luxuryhampers…,neutral,neutral,0.690889298915863,92
When Jesse Jackson Cozied Up to Fidel Castro,neutral,neutral,0.9294458031654358,44
Ben Carson awoke this morning to find out that the big yellow thing in the sky is the sun,neutral,neutral,0.8369396924972534,89
Bike parking still free.,neutral,neutral,0.5593971014022827,24
Can't wait to try this - Google Earth VR - this stuff really is the future of exploration....,positive,positive,0.9876003265380859,93
@user @user Trump is likely supporting Putin talking on unsecured phone lines bc Trump's tied to Russia #DworkinReport,neutral,neutral,0.6587746739387512,118
"The fact that mike pence thinks there's a ""cure"" for being gay is absolutely the most ridiculous statement I have ever heard in my life",negative,negative,0.9260377883911133,135
@user @user @user .....Good Old Graham Westley!!,positive,positive,0.7194947600364685,48
Photos: A Thanksgiving protest against Dakota Access pipeline - The Boston Globe,neutral,neutral,0.8400619029998779,80
@user @user @user @user Clinton foundation reminds me of Maharashtra CM Antuley's foundation in 80s for taking bribe.,negative,neutral,0.6628703474998474,117
Survey shows Poroshenko has lost considerable electoral support in two years,neutral,negative,0.7186956405639648,76
When Trump jeopardizes their social security and Medicare payments imma laugh.,negative,negative,0.7910739779472351,78
At Any Price review – generations clash in the American midwest #ZacEfron,neutral,neutral,0.7795423269271851,73
Next?#draintheswamp #TimeForChange#TrumpTransitionTeam,neutral,neutral,0.5630685091018677,54
Wow - the world as we know it is slowly turning upside down: Microsoft joins the Linux Foundation. Good news I supp…,positive,positive,0.7764224410057068,116
"So that Westworld show, it isn't too bad. I guess. If you like that sort of thing.",neutral,positive,0.8230052590370178,82
Grayson Allen just gave dude such a sick move,negative,positive,0.7325229644775391,45
"Download UBER app, Register with this promo code NGSBA105 and get a free ride worth #2500. #Uber #UberNigeria",neutral,positive,0.7005258798599243,109
I love Manchester. Everyone knows that - I have said it many ti... #CristianoRonaldo #citations,positive,positive,0.9631969928741455,95
RT @user It’s not “alt-right.” It’s Neo-Nazi.https://t.co/4fPkSVlSDl,negative,negative,0.737839937210083,68
@user In august2008.puppet Saakashvili attacked South Ossetia and Russian peacekeepers.South Ossetia will  be i…,negative,negative,0.8171347975730896,112
Tips for winter driving.#london #cab #taxi #uber #yellowlondontaxi,neutral,neutral,0.8237316608428955,66
"@user Yes, white supremacists are America's greatest problem ever.  OMG.  GET REAL.  #GOAWAY",negative,negative,0.9275962114334106,92
#Hatchimals are shite,negative,negative,0.9088230133056641,21
@user @user @user @user @user @user I'm getting tired of these people and their gun control,negative,negative,0.941993772983551,91
