text,label,roberta,roberta_score,input_length,gpt2,gpt2_score
@user @user what do these '1/2 naked pics' have to do with anything? They're not even like that.,neutral,negative,0.8047260642051697,96,positive,0.9134505987167358
OH: “I had a blue penis while I was this” [playing with Google Earth VR],neutral,neutral,0.8669487237930298,72,neutral,0.7534046173095703
"@user @user That's coming, but I think the victims are going to be Medicaid recipients.",neutral,neutral,0.7637239098548889,87,positive,0.9999619722366333
I think I may be finally in with the in crowd #mannequinchallenge  #grads2014 @user,positive,positive,0.7740470767021179,83,positive,0.8987836837768555
"@user Wow,first Hugo Chavez and now Fidel Castro. Danny Glover, Michael Moore, Oliver Stone, and Sean Penn are running out of heroes.",negative,neutral,0.41639748215675354,133,positive,0.9864314198493958
Savchenko now Saakashvili took drug test live on Ukraine TV. To prove they are not drug-fueled loonies?,neutral,neutral,0.4963688552379608,103,negative,0.9999295473098755
How many more days until opening day? 😩,neutral,neutral,0.4665711522102356,39,negative,0.999988317489624
Twitter's #ThankYouObama Shows Heartfelt Gratitude To POTUS,positive,positive,0.947964072227478,59,positive,0.9995934367179871
All CSG and Fracking all around Australia is to cease and Mining Entities held Accountable! - Sign the Petition!,neutral,negative,0.5159922242164612,112,positive,0.9999923706054688
@user @user @user @user @user @user take away illegals and dead people and Trump wins popular vote too.,negative,neutral,0.6462966799736023,103,positive,0.7922831177711487
An interesting security vulnerability - albeit not for the everyday car thief,neutral,neutral,0.5802545547485352,77,positive,0.999924898147583
#GilmoreGirlsTop4 1. Spoke2. Paris3. Emily4. PattyInvisible number 5. Richard,neutral,neutral,0.7971653938293457,77,neutral,0.99989914894104
#onedirection #harrystyles cute little dance 😉,positive,positive,0.9007453322410583,46,positive,0.996944010257721
"When Ryan privatizes SS, Medicare, Medicaid, & does away with ACA, what will Trump's base feel about ""change"" then? That's a big one right?!",negative,negative,0.5906877517700195,140,neutral,0.9999973773956299
Swampbitch Nasty Pelosi  loves yelling 'Fire' in the crowded swamp. #blackfriday @user,negative,negative,0.8432438373565674,86,positive,0.7428634166717529
@user ohhh ok i see 🤔 what if u have medical marijuana clearance? Does that make a difference,neutral,neutral,0.9275136590003967,93,positive,0.999990701675415
OPINION: The Anti-#Trump #Riots Are a #SmokeScreen:,neutral,negative,0.5895980596542358,51,neutral,0.9999568462371826
ISIS and The CIA What You Need To Know! #ISIS #falseflag #saudi #CIA #mossad #israel,neutral,negative,0.826901912689209,84,neutral,0.9999884366989136
@user alt-right was adopted by Deplorables. Average middle Americans.  I've now moved to Libertarian. @user,neutral,neutral,0.5151349902153015,107,positive,0.9999330043792725
"@user #GilmoreGirlsTop4 Lorelai, Rory, Lane, Sookie @user @user",neutral,neutral,0.8869539499282837,63,positive,0.9999730587005615
"Christians In Palestine: Yes, They Exist #gaza #palestine #israel #BDS",neutral,neutral,0.7468939423561096,70,neutral,0.5386790037155151
"@user Going to see #FantasticBeasts this afternoon. Mom is a Potter fanatic. My niece was, but she's kinda growing out of it.",positive,positive,0.7539661526679993,125,positive,0.9997261166572571
Listen to win passes to see #FantasticBeasts after 2pm w/ @user,neutral,positive,0.5687165856361389,63,positive,0.971679151058197
The United Nations Headquarters in New York #unitednations #newyork #usa🇺🇸 #USA #newyorkcity…,neutral,neutral,0.7923486828804016,93,positive,0.9991305470466614
Zac Efron Flaunts Fit Abs in New ‘Dirty Grandpa’... #ZacEfron,neutral,neutral,0.6070791482925415,61,neutral,0.9988111257553101
1am and I'm still watching #ThisIsUs,neutral,positive,0.5023007988929749,36,neutral,0.9985775947570801
The left has really gone Full retard haven't they?,negative,negative,0.869616687297821,50,negative,0.9997326731681824
"#Israel fire updates: Major blaze breaks out near #Jerusalem, firebombing suspected...",neutral,negative,0.7278672456741333,86,neutral,0.9999552965164185
"RT @user Can I politely suggest that we all stop using the term ""alt-right"" and use other, more precise words.",neutral,neutral,0.5126897096633911,110,positive,0.9999932050704956
Day 5 Advent Gift Countdown - 'Gold Standard'  #20moresleeps #christmasgifts #luxuryhampers…,neutral,neutral,0.690889298915863,92,positive,0.7836624383926392
When Jesse Jackson Cozied Up to Fidel Castro,neutral,neutral,0.9294458031654358,44,negative,0.9992027878761292
Ben Carson awoke this morning to find out that the big yellow thing in the sky is the sun,neutral,neutral,0.8369396924972534,89,neutral,0.9939093589782715
Bike parking still free.,neutral,neutral,0.5593971014022827,24,neutral,0.9999154806137085
Can't wait to try this - Google Earth VR - this stuff really is the future of exploration....,positive,positive,0.9876003265380859,93,neutral,0.9542790651321411
@user @user Trump is likely supporting Putin talking on unsecured phone lines bc Trump's tied to Russia #DworkinReport,neutral,neutral,0.6587746739387512,118,positive,0.9999728202819824
"The fact that mike pence thinks there's a ""cure"" for being gay is absolutely the most ridiculous statement I have ever heard in my life",negative,negative,0.9260377883911133,135,positive,0.9823854565620422
@user @user @user .....Good Old Graham Westley!!,positive,positive,0.7194947600364685,48,positive,0.9999978542327881
Photos: A Thanksgiving protest against Dakota Access pipeline - The Boston Globe,neutral,neutral,0.8400619029998779,80,negative,0.9927507638931274
@user @user @user @user Clinton foundation reminds me of Maharashtra CM Antuley's foundation in 80s for taking bribe.,negative,neutral,0.6628703474998474,117,positive,0.9999973773956299
Survey shows Poroshenko has lost considerable electoral support in two years,neutral,negative,0.7186956405639648,76,negative,0.9999997615814209
When Trump jeopardizes their social security and Medicare payments imma laugh.,negative,negative,0.7910739779472351,78,negative,0.804509699344635
At Any Price review – generations clash in the American midwest #ZacEfron,neutral,neutral,0.7795423269271851,73,neutral,0.9999076128005981
Next?#draintheswamp #TimeForChange#TrumpTransitionTeam,neutral,neutral,0.5630685091018677,54,negative,0.9966784715652466
Wow - the world as we know it is slowly turning upside down: Microsoft joins the Linux Foundation. Good news I supp…,positive,positive,0.7764224410057068,116,negative,0.7825058698654175
"So that Westworld show, it isn't too bad. I guess. If you like that sort of thing.",neutral,positive,0.8230052590370178,82,negative,0.9995998740196228
Grayson Allen just gave dude such a sick move,negative,positive,0.7325229644775391,45,positive,0.9984758496284485
"Download UBER app, Register with this promo code NGSBA105 and get a free ride worth #2500. #Uber #UberNigeria",neutral,positive,0.7005258798599243,109,positive,0.8750783801078796
I love Manchester. Everyone knows that - I have said it many ti... #CristianoRonaldo #citations,positive,positive,0.9631969928741455,95,positive,0.9999979734420776
RT @user It’s not “alt-right.” It’s Neo-Nazi.https://t.co/4fPkSVlSDl,negative,negative,0.737839937210083,68,positive,0.9999219179153442
@user In august2008.puppet Saakashvili attacked South Ossetia and Russian peacekeepers.South Ossetia will  be i…,negative,negative,0.8171347975730896,112,positive,0.9999997615814209
Tips for winter driving.#london #cab #taxi #uber #yellowlondontaxi,neutral,neutral,0.8237316608428955,66,neutral,0.5343728065490723
"@user Yes, white supremacists are America's greatest problem ever.  OMG.  GET REAL.  #GOAWAY",negative,negative,0.9275962114334106,92,positive,0.9999932050704956
#Hatchimals are shite,negative,negative,0.9088230133056641,21,negative,0.9999980926513672
@user @user @user @user @user @user I'm getting tired of these people and their gun control,negative,negative,0.941993772983551,91,positive,0.9996248483657837
#Trump MEMORABILIA#BlackFriday - UP TO 40% OFFUse Code: BLACKFRISAVE#DrainTheSwamp #Deplorables…,neutral,neutral,0.48536184430122375,96,neutral,0.9999932050704956
It's more difficult to move to Mexico as the Clintons built a bloody great fence all along the Border…,negative,negative,0.8852794766426086,102,positive,0.9999995231628418
"@user it's weird 'cause I usually like music in his vein, but it's every so shy of being memorable like a Bob Dylan/Lou Reed thing(?)",negative,neutral,0.6288521885871887,133,positive,0.9982032775878906
#Putin has had it with #Obama and has decided to throw #America out of #Syria negotiationshttps://t.co/z4CBIDDU11,neutral,negative,0.5895330309867859,113,neutral,0.9999969005584717
"@user we all know on JANUARY 20th trump gonna push oil, fossil fuels, fracking down our throats. Fml... We must fight back. GOP sucks",negative,negative,0.9402272701263428,133,positive,0.9997487664222717
"With James Comey in office, how could the US investigate the Russians? @user @user @user  @user",negative,neutral,0.6425028443336487,95,positive,0.999950647354126
"If you're looking for work in #Palestine, TX, check out this #job: #Retail #Hiring #CareerArc",neutral,neutral,0.8689861297607422,93,neutral,0.996274471282959
Didn't take long for the Clinton Foindation money train to derail. Zero Hedge,negative,negative,0.6751220226287842,77,neutral,0.9991235136985779
HOO BOY THAT WESTWORLD FINALE,positive,positive,0.7538723349571228,29,negative,0.9934899806976318
idk where to start after my intro. im writing from a pro-raising-minimum-wage pov but I'm stuck ☹️,neutral,negative,0.8479450941085815,98,neutral,0.9449754953384399
This isn't the 1st time @user & the #Hamas supporting #IntifadaBrigade mock disasters/terror attacks while p…,neutral,negative,0.7391725778579712,109,positive,0.9999949932098389
Tim Duncan and Gregg Popovich. Two legends.,positive,positive,0.845291793346405,43,neutral,0.9990975856781006
#Platz / #Place: 4   Vente Pa' Ca (feat. Maluma) - Ricky Martin     #top100 #musik #music #charts #Spain #Spanien,neutral,neutral,0.8543660640716553,113,positive,0.9820547103881836
Come on Electoral College. Please do your job. Majority of Americans do not want @user This is NOT the f…,neutral,negative,0.8892827033996582,105,negative,0.9733205437660217
@user That looks like Trump's transition team.,neutral,neutral,0.6762527227401733,46,positive,0.9999605417251587
shoutout to the moms of -Zac Efron-Ryan Gosling-Franco Brothers-Hemsworth brothers-Channing Tatumfor making these beautiful men,positive,positive,0.9350605010986328,127,positive,0.999987006187439
@user @user @user only wants adulation and sycophants. Like Kim Fatty the Third. Paranoia and bugs rooms.,negative,negative,0.8469410538673401,105,positive,0.9999903440475464
@user @user involuntary euthanasia is a better system,neutral,negative,0.5062392354011536,53,positive,0.999994158744812
@user ain't that how y'all got Tim Duncan? 🤔,neutral,neutral,0.9222264885902405,44,positive,0.9973359704017639
@user @user @user You're also young :P,positive,positive,0.6332813501358032,38,positive,0.9999823570251465
@user @user @user @user Let robots be #Robots!,neutral,neutral,0.7133171558380127,46,positive,0.9999854564666748
@user @user @user @user Poorer states than Alabama have it because they accepted Medicaid expansion,neutral,neutral,0.7962915301322937,99,positive,0.9999998807907104
2016 Prime Cuts JUSTIN VERLANDER Timeline Game Used 2 Color Button Patch 1/1,neutral,neutral,0.908934473991394,76,positive,0.8209943175315857
CNN weeps for their erstwhile hero Fidel Castro.,negative,negative,0.7994250059127808,48,neutral,0.9991027116775513
@user The Jew boy has spoken. @user @user @user @user @user,neutral,neutral,0.8831183910369873,59,positive,0.9999382495880127
The latest Smart LifeStyle Food! Thanks to @user #weightloss #nationalfastfoodday,positive,positive,0.9446074366569519,81,positive,0.9999982118606567
I find myself humming the notes of #ThisIsUs  @user sang a few episodes ago.  Missing her angelic voice.  Love the show.,positive,positive,0.9619680643081665,120,positive,1.0
#NoDAPL #CorporateGreed #corporations are #evil especially the media #corporations #tpp #TrumpTrain #bravo #cnn #foxnews #soulless #wrong 😣,negative,negative,0.9302959442138672,139,positive,0.6510536074638367
"@user it's free with insurance because of Obamacare, which trump wants to repeal 🙃",negative,negative,0.5585412383079529,82,positive,0.9999958276748657
Buy VAMAA 3D Printing Pen 1.75mm ABS Filament 10m (0.25*40 Strands) (Snow White) at Rs. 299.00,neutral,neutral,0.8953137397766113,94,neutral,0.9999891519546509
The #Obama admin. has carried out a deliberately deceptive campaign accusing Iran of sending arms to #Houthis#yemenhttps://t.co/KYu02C73ww,neutral,negative,0.7152671813964844,138,neutral,0.9999126195907593
